# CMUdict-derived US English IPA. Source: cmusphinx/cmudict (BSD-2-Clause,
# Copyright (C) 1993-2015 Carnegie Mellon University). See THIRD_PARTY_NOTICES.md.
# Format: word<TAB>ipa1;ipa2;...   Generated by tools/make_ipa_dict.py — do not edit by hand.
a	ə;ˈeɪ
acted	ˈæktɪd
actel	ˈæktel
actigall	ˈæktɪɡɔːl
actin	ˈæktən
acting	ˈæktɪŋ
actinide	ˈæktɪˌnaɪd
actinidia	ˌæktɪˈnɪdiə
actinomycosis	ˌækˌtɪnoʊˌmaɪˈkoʊsɪs
action	ˈækʃən
action's	ˈækʃənz
actionable	ˈækʃənəbəl
actions	ˈækʃənz
activase	ˈæktɪˌveɪz
activate	ˈæktəˌveɪt
activated	ˈæktəˌveɪtɪd
activates	ˈæktəˌveɪts
activating	ˈæktəˌveɪtɪŋ
activation	ˌæktəˈveɪʃən
activator	ˈæktəˌveɪtər
active	ˈæktɪv
active's	ˈæktɪvz
actively	ˈæktɪvli
actives	ˈæktɪvz
activision	ˈæktɪˌvɪʒən
activism	ˈæktɪˌvɪzəm
activist	ˈæktəvəst;ˈæktɪvɪst
activists	ˈæktəvəsts;ˈæktɪvɪsts
activists'	ˈæktɪvɪsts
activities	ækˈtɪvətiz;ækˈtɪvɪtiz
activity	ækˈtɪvəti;ækˈtɪvɪti
actmedia	æktˈmiːdiə
actodine	ˈæktoʊˌdaɪn
acton	ˈæktən
actor	ˈæktər
actor's	ˈæktərz
actors	ˈæktərz
actors'	ˈæktərz
actress	ˈæktrəs
actress's	ˈæktrəsɪz
actresses	ˈæktrəsɪz
acts	ˈækts;ˈæks
actual	ˈæktʃəwəl;ˈækʃəl
actuality	ˌæktʃuˈæləˌtiː
actualize	ˈækˌtʃuːəˌlaɪz
actually	ˈækˌtʃuːəli;ˈæktʃli;ˈækʃəli
actuarial	ˌækˌtʃuːˈeriəl
actuaries	ˌækˌtʃuːˈeˌriːz
actuary	ˌæktʃuˈeˌriː
actuate	ˌækˌtʃuːˈeɪt
actuator	ˈæktjuˌeɪtər;ˈæktʃuˌeɪtər
actuators	ˈæktjuˌeɪtərz;ˈæktʃuˌeɪtərz
actus	ˈæktəs
acuff	əˈkʌf
acuity	əˈkjuːəti
acumen	əˈkjuːmən
acuna	ɑːˈkuːnə
acupuncture	ˈækjuˌpʌŋktʃər
acura	ˈækjərə
acura's	ˈækjərəz
acuras	ˈækjərəz
acuson	ˌæˈkjuːsən
acustar	ˈækjuˌstɑːr
acusyst	ˈækjusɪst
acute	əˈkjuːt
acutely	əˈkjuːtli
acuteness	əˈkjuːtnəs
acyclovir	əˈsɪkloʊˌvɪr
ad	ˈæd
ad's	ˈædz
ad-hoc	ˌædˈhɑːk
ad-lib	ˌæˈdlɪb
ad-nauseam	ˌædˈnɔːziɑːm
ad-nauseum	ˌædˈnɔːziəm
ada	ˈeɪdə
ada's	ˈeɪdəz
adabel	ˈædəbel
adabelle	ˈædəbəl
adachi	ɑːˈdɑːki
adage	ˈædədʒ;ˈædɪdʒ
adagio	əˈdɑːʒiˌoʊ
adah	ˈædɑː
adair	əˈder
adaire	ɑːˈder
adak	əˈdæk
adalah	ɑːˈdɑːlə
adalia	ɑːˈdɑːliə
adam	ˈædəm
adam's	ˈædəmz
adamant	ˈædəmənt
adamantly	ˈædəməntli
adamcik	ˈɑːdəmtʃɪk
adamczak	ˈɑːdəmtʃæk
adamczyk	ˈɑːdəmtʃɪk
adame	ɑːˈdɑːmi
adamec	əˈdɑːmɪk
adamek	əˈdɑːmek
adames	əˈdeɪmz
adami	ɑːˈdɑːmi
adamik	əˈdɑːmɪk
adamina	ɑːdɑːˈmiːnə
adamkus	ˈædəmkəs
adamo	ɑːˈdɑːmoʊ
adamowicz	əˈdɑːməvɪtʃ
adams	ˈædəmz
adams'	ˈædəmz
adams's	ˈædəmzɪz
adamski	əˈdæmˌskiː
adamson	ˈædəmsən
adamstown	ˈædəmˌstaʊn
adan	ˈeɪdən
adapso	əˈdæpsoʊ
adapt	əˈdæpt
adaptability	əˌdæptəˈbɪləti
adaptable	əˈdæptəbəl
adaptaplex	əˈdæptəˌpleks
adaptation	ˌædəpˈteɪʃən
adaptations	ˌædæpˈteɪʃənz;ˌædəpˈteɪʃənz
adaptec	əˈdæpˌtek
adaptec's	əˈdæpˌteks
adapted	əˈdæptɪd
adapter	əˈdæptər
adapters	əˈdæptərz
adapting	əˈdæptɪŋ
adaptive	əˈdæptɪv
adaptor	əˈdæptər
adaptors	əˈdæptərz
adapts	əˈdæpts
adar	əˈdɑːr
adarand	ˈædəˌrænd
adare	əˈder
adas	ˈeɪdəz
aday	əˈdeɪ
adaza	əˈdɑːzə
adblock	ˈædˌblɑːk
adcock	ədˈkɑːk
adcox	ədˈkɑːks
add	ˈæd
addair	əˈder
addams	ˈædəmz
added	ˈædəd;ˈædɪd
addendum	əˈdendəm
addendums	əˈdendəmz
addeo	ˈɑːdioʊ
adder	ˈædər
adderley	əˈdɜːrli
addicks	ˈædɪks
addict	əˈdɪkt;ˈæˌdɪkt
addicted	əˈdɪktɪd
addicting	əˈdɪktɪŋ
addiction	əˈdɪkʃən
addictions	əˈdɪkʃənz
addictive	əˈdɪktɪv
addicts	əˈdɪkts;ˈæˌdɪkts
addidas	əˈdiːdəs
addidas'	əˈdiːdəs
addidas's	əˈdiːdəsɪz
addidases	əˈdiːdəsɪz
addie	ˈædi
adding	ˈædɪŋ
addington	ˈædɪŋtən
addis	ˈɑːdɪs
addis-ababa	ˌɑːdɪsəˈbɑːbɑː;ˌɑːdisəˈbɑːbɑː
addison	ˈædəsən;ˈædɪsən
addison's	ˈædɪsənz
addition	əˈdɪʃən
additional	əˈdɪʃənəl;əˈdɪʃnəl
additionally	əˈdɪʃəˌnʌli;əˈdɪʃnəli
additions	əˈdɪʃənz
additive	ˈædətɪv;ˈædɪtɪv
additives	ˈædətɪvz;ˈædɪtɪvz
addle	ˈædəl
addled	ˈædəld
addleman	ˈædəlmən
address	əˈdres;ˈæˌdres
addressable	əˈdresəbəl
addressed	əˈdrest
addressee	ˌædreˈsiː
addresses	ˌæˈdresɪz;əˈdresɪz
addressing	əˈdresɪŋ
adds	ˈædz
adduci	ɑːˈduːtʃi
adduct	ˈædəkt
addwest	ˌæˈdwest
addy	ˈædi
addyston	ˈædistən
ade	ˈeɪd
adee	əˈdiː
adel	əˈdel
adela	əˈdelə
adelaar	ˈædəˌlɑːr
adelaide	ˈædəˌleɪd
adelanto	ædəˈlɑːntoʊ
adelbert	əˈdelbərt
adele	əˈdel
adele's	əˈdelz
adeline	ˈædəˌlaɪn
adelizzi	ˌædəˈliːzi
adell	əˈdel
adell's	əˈdelz
adelle	əˈdel
adelman	ˈædəlmən;ˈedəlmən
adelmann	ˈædəlmən
adelpha	əˈdelfə
adelphi	əˈdelfi
adelphia	əˈdelfiə
adelphia's	əˈdelfiəz
adelsberger	ˈædɪlzbərɡər
adelson	ˈædəlsən
adelstein	ˈædəlstaɪn;ˈædəlstin
aden	ˈeɪdən
adena	ˈædɪnə
adenauer	ˈeɪdəˌnaʊr;ˈædəˌnaʊr
adenine	ˈædəˌniːn
adenoid	ˈædəˌnɔɪd
adenoids	ˈædəˌnɔɪdz
adenoscan	əˈdenəˌskæn
adenosine	əˈdenəˌsiːn
adenovirus	əˈdenəˌvaɪrəs
adept	əˈdept
adequacy	ˈædəkwəsi
adequate	ˈædəkwət;ˈædəˌkweɪt
adequately	ˈædəkwətli;ˈædəkwɪtli
ader	ˈeɪdər
aderhold	ˈædərhoʊld
aderholt	ˈædərhoʊlt
aderman	ˈædərmən
ades	ˈeɪdz
adey	ˈeɪdi
adger	ˈædʒər
adham	ˈædhæm
adhd	ˌeɪˌdiːˌeɪtʃˈdiː
adhere	ədˈhɪr
adhered	ædˈhɪrd
adherence	ədˈhɪrəns
adherent	ədˈhɪrənt
adherents	ædˈhɪrənts
adheres	ədˈhɪrz
adhering	ədˈhɪrɪŋ
adhesion	ædˈhiːʒən
adhesive	ædˈhiːsɪv;ədˈhiːsɪv
adhesives	ædˈhiːsɪvz;ədˈhiːsɪvz
adia	ˈɑːdiə
adid	əˈdɪd
adidas	əˈdiːdəs
adidas's	əˈdiːdəsɪz
adieu	əˈduː
adin	əˈdɪn
adina	ɑːˈdiːnə
adine	ɑːˈdiːni
adinolfi	ɑːdiˈnoʊlfi
adios	ˌɑːdiˈoʊs
adipose	ˈædəˌpoʊs
adirondack	ˌædərˈɑːndæk
adisq	əˈdɪsk;ˈeɪdɪsk
adjacent	əˈdʒeɪsənt
adjani	ædˈdʒɑːni
adjective	ˈædʒɪktɪv
adjectives	ˈædʒɪktɪvz
adjoin	əˈdʒɔɪn
adjoining	əˈdʒɔɪnɪŋ
adjoins	əˈdʒɔɪnz
adjourn	əˈdʒɜːrn
adjourned	əˈdʒɜːrnd
adjourning	əˈdʒɜːrnɪŋ
adjournment	əˈdʒɜːrnmənt
adjourns	əˈdʒɜːrnz
adjudge	əˈdʒʌdʒ
adjudged	əˈdʒʌdʒd
adjudicate	əˈdʒuːdɪˌkeɪt
adjudicated	əˈdʒuːdəˌkeɪtɪd
adjudicating	əˈdʒuːdɪˌkeɪtɪŋ
adjudication	əˌdʒuːdəˈkeɪʃən
adjunct	ˈæˌdʒʌŋkt
adjuncts	ˈæˌdʒʌŋkts
adjust	əˈdʒʌst
adjustable	əˈdʒʌstəbəl
adjustables	əˈdʒʌstəbəlz
adjusted	əˈdʒʌstɪd
adjuster	əˈdʒʌstər
adjusters	əˈdʒʌstərz
adjusting	əˈdʒʌstɪŋ
adjustment	əˈdʒʌstmənt
adjustments	əˈdʒʌstmənts
adjusts	əˈdʒʌsts
adjutant	ˈædʒətənt
adkins	ˈædkɪnz
adkinson	ˈædkɪnsən
adkison	ˈædkɪsən
adkisson	ˈædkɪsən
adl-tabataba	ˌɑːdəlˌtɑːbəˈtɑːbə
adl-tabatabai	ˌɑːdəlˌtɑːbəˌtʌˈbaɪ
adlai	ɑːˈdlɑːi
adler	ˈædlər
adler's	ˈædlərz
adlers	ˈædlərz
adley	ˈædli
adlon	ˈædlɑːn
adlong	ˈædlɔːŋ
adman	ˈædmən
admen	ˈædmən
admin	ˈædmɪn
administer	ədˈmɪnəstər
administered	ədˈmɪnəstərd
administering	ædˈmɪnɪˌstɜːrɪŋ
administers	ædˈmɪnɪstərz
administrate	ædˈmɪnɪˌstreɪt
administrating	ədˈmɪnəˌstreɪtɪŋ
administration	ædˌmɪnɪˈstreɪʃən
administration's	ædˌmɪnɪˈstreɪʃənz
administrations	ædˌmɪnɪˈstreɪʃənz
administrations'	ædˌmɪnɪˈstreɪʃənz
administrative	ədˈmɪnəˌstreɪtɪv
administratively	ædˌmɪnəˈstreɪtɪvli
administrator	ədˈmɪnəˌstreɪtər
administrator's	ædˈmɪnɪˌstreɪtərz
administrators	ædˈmɪnɪˌstreɪtərz
administrators'	ædˈmɪnəˌstreɪtərz
admins	ədˈmɪnz;ˈædmɪnz
admira	ædˈmaɪrə
admira's	ædˈmaɪrəz
admirable	ˈædmərəbəl;ˈædmrəbəl
admirably	ˈædmərəbli
admiral	ˈædmərəl
admiral's	ˈædmərəlz
admirals	ˈædmərəlz
admiralty	ˈædmərəlti
admiration	ˌædmərˈeɪʃən
admirations	ˌædmərˈeɪʃənz
admire	ædˈmaɪr
admired	ədˈmaɪərd
admirer	ædˈmaɪrər
admirers	ədˈmaɪrərz
admires	ædˈmaɪrz
admiring	ædˈmaɪrɪŋ
admiringly	ædˈmaɪrɪŋli
admissibility	ədˌmɪsəˈbɪləti
admissible	ədˈmɪsəbəl
admission	ædˈmɪʃən;ədˈmɪʃən
admissions	ædˈmɪʃənz;ədˈmɪʃənz
admit	ədˈmɪt
admits	ədˈmɪts
admittance	ədˈmɪtəns
admitted	ədˈmɪtɪd
admittedly	ædˈmɪtɪdli
admitting	ædˈmɪtɪŋ;ədˈmɪtɪŋ
admonish	ædˈmɑːnɪʃ
admonished	ədˈmɑːnɪʃt
admonishes	ædˈmɑːnɪʃɪz
admonishing	ædˈmɑːnɪʃɪŋ
admonishment	ædˈmɑːnɪʃment
admonition	ˌædməˈnɪʃən
admonitions	ˌædməˈnɪʃənz
admonitory	ˌædˈmɔːnɪˌtɔːri
adnan	ˈædnən
adney	ˈædni
ado	əˈduː
adobe	əˈdoʊbi
adobe's	əˈdoʊbiz
adolescence	ˌædəˈlesəns;ˌædoʊˈlesəns
adolescent	ˌædəˈlesənt;ˌædoʊˈlesənt
adolescents	ˌædəˈlesənts;ˌædoʊˈlesənts
adolf	ˈeɪdɑːlf
adolf's	ˈeɪdɑːlfs
adolfo	əˈdɑːlˌfoʊ
adolph	ˈeɪdɔːlf
adolpha	ɑːˈdoʊlfə
adolphson	ˈædoʊlfsən
adolphus	əˈdɔːlfəs
adon	ɑːˈdɔːn
adonia	ɑːˈdoʊniə
adonis	əˈdɑːnəs
adopt	əˈdɑːpt
adoptable	əˈdɑːptəbəl
adopted	əˈdɑːptɪd
adoptee	əˌdɑːpˈtiː
adoptees	əˌdɑːpˈtiːz
adopter	əˈdɑːptər
adopters	əˈdɑːptərz
adopting	əˈdɑːptɪŋ
adoption	əˈdɑːpʃən
adoptions	əˈdɑːpʃənz
adoptive	əˈdɑːptɪv
adopts	əˈdɑːpts
ador	ɑːˈdɔːr
adora	ɑːˈdɔːrə
adorabelle	ˈædərəbəl
adorable	əˈdɔːrəbəl
adoration	ˌædərˈeɪʃən
adore	əˈdɔːr
adored	əˈdɔːrd
adoree	ædərˈiː
adorees	ædərˈiːz
adores	əˈdɔːrz
adoring	əˈdɔːrɪŋ
adorn	əˈdɔːrn
adorna	ɑːˈdɔːrnə
adorned	əˈdɔːrnd
adorning	əˈdɔːrnɪŋ
adornment	əˈdɔːrnmənt
adorno	ɑːˈdɔːrnoʊ
adorns	əˈdɔːrnz
adra	ˈeɪdrə
adragna	ɑːˈdrɑːɡnə
adrda	ˈeɪdərdə
adrea	ˈɑːdriə
adrenal	əˈdriːnəl
adrenalin	əˈdrenəlɪn
adrenaline	əˈdrenələn
adrenergic	ədreˈnerdʒɪk
adria	ˈɑːdriə
adrian	ˈeɪdriən
adriana	ˌeɪdriˈænə
adriance	ɑːˈdriːəns
adriano	ɑːdriˈɑːnoʊ
adriatic	ˌeɪdriˈætɪk
adriel	əˈdriːl
adrienne	ɑːdriˈen
adrift	əˈdrɪft
adroit	əˈdrɔɪt
adroitly	əˈdrɔɪtli
ads	ˈædz
ads'	ˈædz
adsit	ˈædsɪt
adsl	ˌeɪˌdiːˌeˈsel
adsorption	ədˈsɔːrpʃən
adss	ˈæds;ˌeɪˌdiːˌeˈses
adstar	ˈædstɑːr
adsteam	ˈædstim
adtec	ˈædˌtek
adulate	ˈædʒəˌleɪt
adulation	ˌædʒəˈleɪʃən
aduliadae	əˌduːliˈɑːdeɪ
adult	əˈdʌlt;ˈædəlt
adulterate	əˈdʌltərˌeɪt
adulterated	əˈdʌltərˌeɪtɪd
adulterates	əˈdʌltərˌeɪts
adulteration	əˌdʌltərˈeɪʃən
adulterer	əˈdʌltərər
adulterers	əˈdʌltərərz
adulterous	əˈdʌltərəs
adultery	əˈdʌltəri
adulthood	əˈdʌltˌhʊd
adults	əˈdʌlts;ˈædəlts
adults'	əˈdʌlts;ˈædəlts
adusdur	ˈædəsdər
advacare	ˈædvəˌker
advalue	ˈædvəˌluː
advance	ədˈvæns
advance's	ədˈvænsəz;ədˈvænsɪz
advanced	ədˈvænst
advancement	ədˈvænsmənt
advancements	ədˈvænsmənts
advancer	ədˈvænsər
advancers	ədˈvænsərz
advances	ədˈvænsəz;ədˈvænsɪz
advancing	ədˈvænsɪŋ
advani	ædˈvɑːni
advanta	ædˈvæntə;ədˈvæntə
advanta's	ædˈvæntəz;ədˈvæntəz
advantage	ædˈvæntɪdʒ
advantaged	ædˈvæntɪdʒd
advantageous	ˌædvənˈteɪdʒəs
advantages	ædˈvæntɪdʒɪz
advantest	ædˈvæntəst
advection	ædˈvekʃən
advent	ˈædˌvent
adventist	ˈædˌventɪst
adventists	ˈædˌventɪsts
adventure	ædˈventʃər;ədˈventʃər
adventurer	ædˈventʃərər;ədˈventʃərər
adventurers	ædˈventʃərərz;ədˈventʃərərz
adventures	ædˈventʃərz
adventuresome	ædˈventʃərsəm
adventurism	ædˈventʃərˌɪzəm
adventurous	ædˈventʃərəs;ədˈventʃərəs
adverb	ˈædvərb
adverbial	ædˈvɜːrbiəl
adverbs	ˈædvərbz
adversarial	ˌædvərˈseriəl
adversaries	ˈædvərˌseriz
adversary	ˈædvərˌseri
adverse	ædˈvɜːrs;ˈædˌvɜːrs;ədˈvɜːrs
adversely	ædˈvɜːrsli
adversity	ædˈvɜːrsɪˌtiː;ədˈvɜːrsɪti
advert	ˈædvərt
advertise	ˈædvərˌtaɪz
advertised	ˈædvərˌtaɪzd;ˌædvərˈtaɪzd
advertisement	ædˈvɜːrtəzmənt;ˌædvərˈtaɪzmənt
advertisements	ˈædvərˌtaɪzmənts
advertiser	ˈædvərˌtaɪzər
advertiser's	ˈædvərˌtaɪzərz
advertisers	ˈædvərˌtaɪzərz
advertisers'	ˈædˌvɜːrˌtaɪzərz
advertises	ˈædvərˌtaɪzɪz
advertising	ˈædvərˌtaɪzɪŋ
advertising's	ˈædvərˌtaɪzɪŋz
advertorial	ˌædvərˈtɔːriəl
advertorials	ˌædvərˈtɔːriəlz
advest	ˈædvest
advice	ædˈvaɪs;ədˈvaɪs
advil	ˈædˌvɪl
advil's	ˈædˌvɪlz
advisability	ˌædˌvaɪzəˈbɪlɪti
advisable	ədˈvaɪzəbəl
advise	ædˈvaɪz;ədˈvaɪz
advised	ædˈvaɪzd;ədˈvaɪzd
advisedly	ædˈvaɪzədli;ədˈvaɪzədli
advisement	ədˈvaɪzmənt
adviser	ædˈvaɪzər
adviser's	ədˈvaɪzərz
advisers	ædˈvaɪzərz
advisers'	ˌædˈvaɪzərz
advises	ædˈvaɪzɪz
advising	ædˈvaɪzɪŋ
advisor	ædˈvaɪzər
advisories	ədˈvaɪzəriz
advisors	ædˈvaɪzərz
advisory	ædˈvaɪzəri
advo	ˈædvoʊ
advocacy	ˈædvəkəsi
advocate	ˈædvəkət;ˈædvəˌkeɪt
advocate's	ˈædvəkəts
advocated	ˈædvəˌkeɪtɪd
advocates	ˈædvəkəts;ˈædvəˌkeɪts
advocating	ˈædvəˌkeɪtɪŋ
advocation	ˌædvəˈkeɪʃən
adweek	ˈædwik
adwell	əˈdwel
adwords	ˈæˌdwɜːrdz
ady	ˈeɪdi
adz	ˈædz
ae	ˈeɪ
aegean	ɪˈdʒiːən
aegerter	ˈeɡərtər
aegis	ˈiːdʒəs
aegon	ˈeɪɡɑːn
aeltus	ˈæltəs
aeneas	ˈæniəs
aeneid	əˈniːɪd
aeolus	ˈeoʊlʊs
aequitron	ˈeɪkwɪtrɑːn
aer	ˈer;ˌeɪˌiːˈɑːr
aerial	ˈeriəl
aerials	ˈeriəlz
aerie	ˈeri
aerien	ˈeriən
aeriens	ˈeriənz
aeritalia	ˌerɪˈtæljə
aero	ˈeroʊ
aerobatic	ˌerəˈbætɪk
aerobatics	ˌerəˈbætɪks
aerobic	eˈroʊbɪk
aerobically	eˈroʊbɪkli
aerobics	ərˈoʊbɪks
aerodrome	ˈerəˌdroʊm
aerodromes	ˈerəˌdroʊmz
aerodynamic	ˌeroʊdaɪˈnæmɪk
aerodynamically	ˌeroʊdaɪˈnæmɪkli
aerodynamicist	ˌeroʊdaɪˈnæmɪsɪst
aerodynamicists	ˌeroʊdaɪˈnæmɪsɪsts
aerodynamics	ˌeroʊdaɪˈnæmɪks
aerodyne	ˈerəˌdaɪn
aerodyne's	ˈerəˌdaɪnz
aeroflot	ˈeroʊˌflɑːt
aeroflot's	ˈeroʊˌflɑːts
aerogenosa	ˈerədʒəˌnoʊsə
aerojet	ˈeroʊˌdʒet
aerojets	ˈeroʊˌdʒets
aerolift	ˈeroʊˌlɪft
aerolifts	ˈeroʊˌlɪfts
aerolineas	ˌeroʊˈlɪniəs
aeromar	ˈerəmɑːr;ˈeroʊmɑːr
aeromexico	ˌeroʊˈmeksɪˌkoʊ
aeromexico's	ˌeroʊˈmeksɪˌkoʊz
aeronautic	ˌeroʊˈnɑːtək
aeronautical	ˌeroʊˈnɑːtəkəl;ˌerəˈnɑːtəkəl
aeronauticas	ˌeroʊˈnɔːtɪkəs
aeronautics	ˌerəˈnɔːtɪks
aeroperu	ˌeroʊpeɪˈruː
aeroperu's	ˌeroʊpeɪˈruːz
aeroquip	ˈerəˌkwɪp
aeroscience	ˌeroʊˈsaɪəs
aerosmith	ˈeroʊˌsmɪθ
aerosmith's	ˈeroʊˌsmɪθs
aerosol	ˈerəˌsɑːl
aerosols	ˈerəˌsɑːlz
aerospace	ˈeroʊˌspeɪs
aerospace's	ˈeroʊˌspeɪsɪz
aerospatiale	ˌeroʊˌspɑːsiˈɑːl
aerospatiale's	ˌeroʊˌspɑːsiˈɑːlz
aerostar	ˈeroʊˌstɑːr
aerostar's	ˈeroʊˌstɑːrz
aerostars	ˈeroʊˌstɑːrz
aerostat	ˈeroʊˌstæt
aerostat's	ˈeroʊˌstæts
aerostats	ˈeroʊˌstæts
aerotech	ˈeroʊˌtek
aerovias	eroʊˈviːəz
aerts	ˈerts
aeschelus	ˈeskələs
aeschliman	ˈeʃlimən
aesop	ˈiːˌsɑːp
aesop's	ˈiːˌsɑːps
aesthenopia	æsθəˈnɔːpjə
aesthete	ˈesθit
aesthete's	ˈesθits
aesthetes	ˈesθits
aesthetic	esˈθetɪk
aesthetically	esˈθetɪkli
aesthetics	esˈθetɪks
aetna	ˈetnə
aetna's	ˈetnəz
afanasyev	ˌæfəˈneɪsiev
afar	əˈfɑːr
affable	ˈæfəbəl
affably	ˈæfəbli
affair	əˈfer
affair's	əˈferz
affairs	əˈferz
affect	əˈfekt
affectation	ˌæfekˈteɪʃən
affected	əˈfektɪd
affecting	əˈfektɪŋ
affection	əˈfekʃən
affectionate	əˈfekʃənət;əˈfekʃənɪt
affectionately	əˈfekʃənətli
affections	əˈfekʃənz
affective	əˈfektɪv
affectively	əˈfektɪvli
affects	əˈfekts
affeldt	ˈæfɪlt
afferent	ˈæfərənt
affiant	ˈæfiənt
affidavit	ˌæfəˈdeɪvət
affidavits	ˌæfɪˈdeɪvɪts
affiliate	əˈfɪliˌeɪt;əˈfɪliət
affiliate's	əˈfɪliˌeɪts
affiliated	əˈfɪliˌeɪtɪd
affiliated's	əˈfɪliˌeɪtɪdz
affiliates	əˈfɪliəts;əˈfɪliˌeɪts
affiliates'	əˈfɪliɪts
affiliating	əˈfɪliˌeɪtɪŋ
affiliation	əˌfɪliˈeɪʃən
affiliations	əˌfɪliˈeɪʃənz
affine	əˈfaɪn
affined	əˈfaɪnd
affines	əˈfaɪnz
affining	əˈfaɪnɪŋ
affinities	əˈfɪnətiz
affinity	əˈfɪnəti;əˈfɪnɪti
affirm	əˈfɜːrm
affirmation	ˌæfərˈmeɪʃən
affirmations	ˌæfərˈmeɪʃənz
affirmative	əˈfɜːrmətɪv
affirmatively	əˈfɜːrmətɪvli
affirmed	əˈfɜːrmd
affirming	əˈfɜːrmɪŋ
affirms	əˈfɜːrmz
affix	ˈæfɪks;əˈfɪks
affixed	əˈfɪkst
affixes	ˈæfɪksɪz;əˈfɪksɪz
affixing	əˈfɪksɪŋ
affleck	ˈæflɪk
afflerbach	ˈæflərˌbɑːk
afflict	əˈflɪkt
afflicted	əˈflɪktɪd
afflicting	əˈflɪktɪŋ
affliction	əˈflɪkʃən
afflictions	əˈflɪkʃənz
afflicts	əˈflɪkts
afflik	ˌæˈflɪk
affluence	ˈæfluəns
affluent	ˈæfluənt
affolter	ˈæfoʊltər
afford	əˈfɔːrd
affordability	əˌfɔːrdəˈbɪləti
affordable	əˈfɔːrdəbəl
affordably	əˈfɔːrdəbli
afforded	əˈfɔːrdəd
affording	əˈfɔːrdɪŋ
affords	əˈfɔːrdz
affricate	ˈæfrəkət
affricates	ˈæfrəkəts
affrication	ˌæfrəˈkeɪʃən
affront	əˈfrʌnt
affronted	əˈfrʌntɪd
affronting	əˈfrʌntɪŋ
affronts	əˈfrʌnts
affymax	ˈæfiˌmæks
afghan	ˈæfˌɡæn
afghani	æfˈɡɑːni
afghani's	æfˈɡæniz
afghanis	æfˈɡæniz
afghanistan	æfˈɡænəˌstæn
afghanistan's	æfˈɡænəˌstænz
afghanistans	æfˈɡænəˌstænz
afghans	ˈæfˌɡænz
afheldt	ˈæˌfelt
aficionado	əˌfiːʃjəˈnɑːˌdoʊ
aficionados	əˌfɪʃəˈnɑːdoʊz
afield	əˈfiːld
afire	əˈfaɪr
afl	ˌeɪˌeˈfel
aflame	əˈfleɪm
aflatoxin	ˌæfləˈtɑːksɪn
afloat	əˈfloʊt
aflutter	əˈflʌtər
afmed	ˈæfmed
afonso	əˈfɑːnsoʊ
afoot	əˈfʊt
aforementioned	əˈfɔːrˌmenʃənd
aforesaid	əˈfɔːrˌsed
aforethought	əˈfɔːrˌθɑːt
afoul	əˈfaʊl
afraid	əˈfreɪd
afresh	əˈfreʃ
africa	ˈæfrəkɑː;ˈæfrɪkə;ˈæfərkə
africa's	ˈæfrəkəz;ˈæfrɪkəz
african	ˈæfrəkən;ˈæfrɪkən
african-american	ˌæfrəkənəˈmerəkən
african-americans	ˌæfrɪkənəˈmerɪkənz
africanist	ˈæfrɪkənɪst
africanist's	ˈæfrɪkɑːnɪsts
africanists	ˈæfrɪkɑːnɪsts
africanize	ˈæfrəkəˌnaɪz
africanized	ˈæfrəkəˌnaɪzd
africans	ˈæfrəkənz;ˈæfrɪkənz
afridi	əˈfriːdi
afrikaans	ˌæfrəˈkɑːnz
afrikaner	ˌæfrəˈkɑːnər
afrikanerdom	ˌæfrəˈkɑːnərdəm
afrikaners	ˌæfrɪˈkɑːnərz
afro	ˈæfroʊ
afroamerican	ˌæfroʊəˈmerəkən
afroamericans	ˌæfroʊəˈmerəkənz
afrocentric	ˌæfroʊˈsentrɪk
afsane	ɑːfˈsɑːˌneɪ
afsane's	ɑːfˈsɑːˌneɪz
afshar	ˈæfʃər
afshar's	ˈæfʃərz
aft	ˈæft
after	ˈæftər
after-room	ˈæftərˌruːm
afterall	ˈæftərˌɑːl
afterburner	ˈæftərˌbɜːrnər
afterburners	ˈæftərˌbɜːrnərz
aftereffect	ˈæftərəˌfekt
aftereffects	ˈæftərəˌfekts
afterglow	ˈæftərˌɡloʊ
afterglows	ˈæftərˌɡloʊz
afterhours	ˈæftərˌhaʊərz
afterimage	ˈæftərˌɪmɪdʒ
afterimages	ˈæftərˌɪmɪdʒəz
afterlife	ˈæftərˌlaɪf
afterlives	ˈæftərˌlaɪvz
aftermarket	ˈæftərˌmɑːrkɪt
aftermarkets	ˈæftərˌmɑːrkɪts
aftermath	ˈæftərˌmæθ
aftermaths	ˈæftərˌmæθs
afternoon	ˌæftərˈnuːn
afternoon's	ˌæftərˈnuːnz
afternoons	ˌæftərˈnuːnz
aftershave	ˌæftərˈʃeɪv
aftershaves	ˌæftərˈʃeɪvz
aftershock	ˈæftərˌʃɑːk
aftershocks	ˈæftərˌʃɑːks
aftertaste	ˈæftərˌteɪst
aftertastes	ˈæftərˌteɪsts
aftertax	ˈæftərˌtæks
afterthought	ˈæftərˌθɑːt;ˈæftərˌθɔːt
afterthoughts	ˈæftərˌθɑːts;ˈæftərˌθɔːts
afterward	ˈæftərwərd
afterwards	ˈæftərwərdz
afula	əˈfuːlə
afula's	əˈfuːləz
ag	ˈæɡ;ˌeɪˈɡiː
ag's	ˈæɡz
aga	ˈɑːɡə
agache	ˈæɡætʃ
agache's	ˈæɡætʃəz
agaches	ˈæɡætʃəz
